Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Gas Usage (l),Electricity Usage (W),Welding Cycle Time
21.00,109.99,12.30,0.09,0.00,0.28
21.00,88.99,10.20,0.08,0.00,0.28
49.00,81.00,10.20,0.11,0.00,0.34
32.00,111.99,13.90,0.11,0.00,0.36
32.00,97.49,11.75,0.18,0.00,0.56
21.00,102.49,11.90,0.17,0.00,0.58
32.00,107.99,11.30,0.39,0.00,1.23
32.00,89.99,10.90,0.41,0.00,1.30
21.00,102.74,10.48,0.43,0.00,1.39
32.00,106.74,11.78,0.44,0.00,1.42
21.00,92.74,12.20,0.43,0.00,1.47
21.00,104.25,13.43,0.41,0.00,1.49
32.00,107.39,11.22,0.45,0.00,1.49
21.00,99.59,13.86,0.37,0.00,1.50
26.00,105.39,11.24,0.46,0.00,1.50
21.00,97.74,13.78,0.39,0.00,1.52
21.00,97.19,14.20,0.41,0.00,1.52
21.00,108.49,12.20,0.40,0.00,1.53
21.00,106.99,12.40,0.41,0.00,1.53
21.00,97.99,13.68,0.40,0.00,1.55
21.00,101.59,13.22,0.41,0.00,1.56
21.00,99.99,13.65,0.40,0.00,1.56
21.00,96.74,14.75,0.40,0.00,1.56
21.00,104.49,14.33,0.42,0.00,1.56
21.00,106.19,12.54,0.40,0.00,1.58
21.00,101.79,13.76,0.40,0.00,1.58
21.00,104.24,13.38,0.42,0.00,1.59
21.00,98.59,14.50,0.42,0.00,1.61
21.00,95.39,14.46,0.38,0.00,1.63
21.00,100.49,13.43,0.42,0.00,1.64
21.00,99.79,13.70,0.41,0.00,1.64
21.00,96.24,14.20,0.42,0.00,1.64
21.00,107.79,12.64,0.42,0.00,1.66
21.00,93.80,14.86,0.43,0.00,1.66
21.00,104.39,13.18,0.42,0.00,1.66
21.00,95.49,15.68,0.44,0.00,1.66
21.00,100.99,13.42,0.45,0.00,1.67
21.00,103.39,13.08,0.43,0.00,1.69
21.00,98.74,14.25,0.42,0.00,1.69
21.00,95.74,14.35,0.40,0.00,1.69
21.00,102.74,13.40,0.42,0.00,1.70
21.00,99.79,13.24,0.43,0.00,1.70
21.00,101.00,13.88,0.46,0.00,1.72
21.00,103.74,12.65,0.45,0.00,1.72
21.00,96.24,14.78,0.44,0.00,1.72
21.00,97.24,13.83,0.40,0.00,1.73
21.00,103.50,14.10,0.46,0.00,1.73
21.00,99.33,13.43,0.49,0.00,1.75
21.00,111.79,13.84,0.45,0.00,1.75
21.00,94.99,14.88,0.46,0.00,1.75
21.00,101.16,13.72,0.46,0.00,1.77
21.00,105.49,13.90,0.45,0.00,1.77
21.00,98.49,14.50,0.43,0.00,1.77
21.00,99.39,12.80,0.46,0.00,1.78
21.00,103.00,13.02,0.45,0.00,1.78
21.00,105.24,13.25,0.45,0.00,1.78
21.00,94.59,15.40,0.45,0.00,1.78
21.00,108.83,10.73,0.53,0.00,1.78
21.00,107.39,12.94,0.46,0.00,1.80
21.00,110.19,12.68,0.44,0.00,1.80
21.00,94.59,14.64,0.46,0.00,1.80
21.00,106.99,12.20,0.42,0.00,1.81
21.00,96.40,14.80,0.48,0.00,1.81
21.00,120.79,12.70,0.47,0.00,1.81
21.00,99.39,14.16,0.45,0.00,1.81
21.00,103.74,13.28,0.46,0.00,1.81
21.00,122.59,13.24,0.48,0.00,1.81
21.00,99.79,13.74,0.43,0.00,1.83
21.00,98.79,13.68,0.45,0.00,1.83
21.00,93.00,15.28,0.44,0.00,1.83
21.00,108.59,12.72,0.44,0.00,1.84
21.00,107.99,12.30,0.45,0.00,1.84
21.00,106.19,12.70,0.47,0.00,1.84
21.00,97.99,14.74,0.48,0.00,1.84
21.00,104.59,13.54,0.47,0.00,1.84
21.00,98.20,14.80,0.50,0.00,1.86
21.00,106.79,12.22,0.48,0.00,1.86
21.00,96.20,14.82,0.49,0.00,1.86
21.00,99.39,13.56,0.45,0.00,1.88
21.00,114.20,13.16,0.46,0.00,1.88
21.00,110.32,13.68,0.49,0.00,1.88
21.00,105.24,12.33,0.45,0.00,1.89
21.00,104.99,12.48,0.47,0.00,1.89
21.00,107.50,12.35,0.45,0.00,1.89
21.00,104.83,10.83,0.58,0.00,1.89
21.00,97.19,14.52,0.49,0.00,1.89
21.00,119.99,12.22,0.48,0.00,1.89
21.00,104.79,13.86,0.51,0.00,1.89
21.00,98.20,14.84,0.49,0.00,1.89
21.00,107.59,12.24,0.49,0.00,1.91
21.00,99.39,13.42,0.48,0.00,1.91
21.00,107.49,12.15,0.48,0.00,1.91
21.00,106.49,12.20,0.45,0.00,1.91
21.00,103.99,12.58,0.44,0.00,1.91
21.00,106.59,12.42,0.49,0.00,1.91
21.00,104.00,13.03,0.48,0.00,1.91
21.00,96.39,14.76,0.50,0.00,1.91
21.00,101.83,13.78,0.51,0.00,1.91
21.00,103.19,13.46,0.49,0.00,1.91
21.00,98.39,14.12,0.48,0.00,1.91
21.00,97.79,13.92,0.45,0.00,1.92
21.00,107.24,12.10,0.47,0.00,1.92
21.00,117.33,12.65,0.51,0.00,1.92
21.00,103.99,13.40,0.50,0.00,1.92
21.00,103.59,13.34,0.51,0.00,1.92
21.00,97.99,14.56,0.51,0.00,1.92
21.00,96.79,14.26,0.49,0.00,1.92
21.00,121.60,12.50,0.51,0.00,1.92
21.00,107.16,12.55,0.52,0.00,1.94
21.00,108.19,12.68,0.51,0.00,1.94
21.00,99.49,13.73,0.45,0.00,1.94
21.00,108.20,12.58,0.47,0.00,1.94
21.00,121.33,12.33,0.49,0.00,1.95
21.00,94.19,15.02,0.52,0.00,1.95
21.00,94.49,14.65,0.47,0.00,1.95
21.00,103.79,12.76,0.47,0.00,1.95
21.00,100.99,13.65,0.51,0.00,1.95
21.00,117.16,13.03,0.49,0.00,1.97
21.00,98.19,13.78,0.48,0.00,1.97
21.00,94.79,14.72,0.48,0.00,1.97
21.00,100.19,13.92,0.50,0.00,1.98
21.00,103.19,13.06,0.50,0.00,1.98
21.00,103.79,12.98,0.49,0.00,1.98
21.00,109.66,12.65,0.53,0.00,1.98
21.00,109.19,12.56,0.49,0.00,1.99
21.00,109.19,12.52,0.50,0.00,1.99
21.00,96.80,14.46,0.52,0.00,1.99
21.00,107.99,12.55,0.49,0.00,2.00
21.00,98.24,13.93,0.49,0.00,2.00
21.00,108.59,12.74,0.53,0.00,2.00
21.00,119.79,12.10,0.52,0.00,2.00
21.00,103.40,12.70,0.54,0.00,2.00
21.00,94.59,14.42,0.52,0.00,2.00
21.00,97.40,14.28,0.53,0.00,2.00
21.00,93.19,15.38,0.47,0.00,2.02
21.00,104.99,12.80,0.48,0.00,2.02
21.00,96.00,14.34,0.54,0.00,2.02
21.00,98.20,14.08,0.51,0.00,2.02
21.00,97.39,14.40,0.53,0.00,2.02
21.00,102.14,13.79,0.54,0.00,2.02
21.00,107.00,11.95,0.48,0.00,2.02
21.00,107.24,12.00,0.48,0.00,2.02
21.00,102.66,13.08,0.52,0.00,2.02
21.00,94.74,14.90,0.50,0.00,2.03
21.00,122.39,12.88,0.50,0.00,2.03
21.00,117.79,13.08,0.51,0.00,2.03
21.00,96.59,13.52,0.51,0.00,2.03
21.00,114.99,13.28,0.52,0.00,2.03
21.00,109.33,14.03,0.49,0.00,2.03
21.00,102.33,14.15,0.55,0.00,2.03
21.00,104.79,12.70,0.51,0.00,2.03
21.00,117.39,12.86,0.52,0.00,2.03
21.00,121.79,12.14,0.47,0.00,2.03
21.00,115.80,12.84,0.49,0.00,2.05
21.00,98.39,13.88,0.52,0.00,2.05
21.00,101.39,13.72,0.53,0.00,2.06
21.00,106.67,12.23,0.56,0.00,2.06
21.00,108.33,14.70,0.51,0.00,2.06
21.00,98.24,13.73,0.50,0.00,2.08
21.00,114.25,13.03,0.50,0.00,2.08
21.00,103.20,12.44,0.53,0.00,2.08
21.00,114.39,12.92,0.51,0.00,2.08
21.00,108.39,13.00,0.51,0.00,2.08
21.00,116.42,13.07,0.54,0.00,2.08
21.00,101.59,13.20,0.51,0.00,2.08
21.00,119.19,12.92,0.53,0.00,2.09
21.00,94.99,14.10,0.55,0.00,2.09
21.00,96.99,13.60,0.53,0.00,2.09
21.00,121.19,12.48,0.53,0.00,2.09
21.00,104.99,13.38,0.54,0.00,2.09
21.00,102.14,13.94,0.59,0.00,2.09
21.00,111.82,12.93,0.51,0.00,2.09
21.00,103.79,13.36,0.55,0.00,2.11
21.00,113.99,14.28,0.52,0.00,2.11
21.00,110.66,13.20,0.52,0.00,2.11
21.00,108.39,12.72,0.52,0.00,2.11
21.00,105.79,12.42,0.53,0.00,2.13
21.00,101.99,13.20,0.49,0.00,2.13
21.00,119.82,12.85,0.55,0.00,2.13
21.00,95.19,15.14,0.52,0.00,2.13
21.00,104.24,13.53,0.51,0.00,2.13
21.00,99.39,13.78,0.52,0.00,2.14
21.00,121.83,13.07,0.55,0.00,2.14
21.00,103.66,12.94,0.55,0.00,2.14
21.00,120.74,12.25,0.55,0.00,2.14
21.00,116.00,12.93,0.54,0.00,2.14
21.00,100.66,13.72,0.57,0.00,2.14
21.00,104.49,13.65,0.51,0.00,2.14
21.00,102.33,12.87,0.56,0.00,2.14
21.00,107.59,12.36,0.57,0.00,2.14
21.00,116.59,12.66,0.51,0.00,2.16
21.00,111.83,12.90,0.55,0.00,2.16
21.00,97.59,14.30,0.53,0.00,2.16
21.00,120.39,12.18,0.52,0.00,2.16
21.00,111.16,12.85,0.57,0.00,2.17
21.00,109.66,12.37,0.56,0.00,2.17
